Trade Number,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit
125,78260891,2024-04-11 17:15,sell,0.5,gbpusdc,1.25412,0.0,1.25387,2024-04-11 17:15,1.25387,-2.5,0.0,0.0,12.5
126,78260891,2024-04-11 17:15,sell,0.5,gbpusdc,1.25412,0.0,1.25387,2024-04-11 17:15,1.25387,-2.5,0.0,0.0,12.5
127,78261188,2024-04-11 17:30,buy,0.5,gbpusdc,1.25275,0.0,1.253,2024-04-11 18:51,1.25301,-2.5,0.0,0.0,13.0
128,78261188,2024-04-11 17:30,buy,0.5,gbpusdc,1.25275,0.0,1.253,2024-04-11 18:51,1.25301,-2.5,0.0,0.0,13.0
129,78262347,2024-04-11 19:00,buy,0.5,gbpusdc,1.25346,0.0,1.25371,2024-04-11 19:25,1.25371,-2.5,0.0,0.0,12.5
130,78262347,2024-04-11 19:00,buy,0.5,gbpusdc,1.25346,0.0,1.25371,2024-04-11 19:25,1.25371,-2.5,0.0,0.0,12.5
131,78262696,2024-04-11 19:30,buy,0.5,gbpusdc,1.25353,0.0,1.25378,2024-04-11 19:48,1.25378,-2.5,0.0,0.0,12.5
132,78262696,2024-04-11 19:30,buy,0.5,gbpusdc,1.25353,0.0,1.25378,2024-04-11 19:48,1.25378,-2.5,0.0,0.0,12.5
133,78262901,2024-04-11 20:00,buy,0.5,gbpusdc,1.25375,0.0,1.254,2024-04-11 20:02,1.25408,-2.5,0.0,0.0,16.5
134,78262901,2024-04-11 20:00,buy,0.5,gbpusdc,1.25375,0.0,1.254,2024-04-11 20:02,1.25408,-2.5,0.0,0.0,16.5
135,78263042,2024-04-11 20:15,buy,0.5,gbpusdc,1.25478,0.0,1.25503,2024-04-11 20:43,1.2551,-2.5,0.0,0.0,16.0
136,78263042,2024-04-11 20:15,buy,0.5,gbpusdc,1.25478,0.0,1.25503,2024-04-11 20:43,1.2551,-2.5,0.0,0.0,16.0
137,78263180,2024-04-11 20:45,buy,0.5,gbpusdc,1.25514,0.0,1.25539,2024-04-11 20:52,1.2554,-2.5,0.0,0.0,13.0
138,78263180,2024-04-11 20:45,buy,0.5,gbpusdc,1.25514,0.0,1.25539,2024-04-11 20:52,1.2554,-2.5,0.0,0.0,13.0
139,78263242,2024-04-11 21:00,buy,0.5,gbpusdc,1.25544,0.0,1.25569,2024-04-11 21:02,1.2557,-2.5,0.0,0.0,13.0
140,78263242,2024-04-11 21:00,buy,0.5,gbpusdc,1.25544,0.0,1.25569,2024-04-11 21:02,1.2557,-2.5,0.0,0.0,13.0
141,78263380,2024-04-11 21:15,buy,0.5,gbpusdc,1.25606,0.0,1.24901,2024-04-15 12:11,1.24901,-2.5,0.0,-1.48,-352.5
142,78263380,2024-04-11 21:15,buy,0.5,gbpusdc,1.25606,0.0,1.24901,2024-04-15 12:11,1.24901,-2.5,0.0,-1.48,-352.5
143,78265501,2024-04-12 09:45,buy,0.5,gbpusdc,1.25221,0.0,1.24901,2024-04-15 12:11,1.24901,-2.5,0.0,-0.74,-160.0
144,78276551,2024-04-12 09:45,buy,0.05,gbpusdc,1.25221,0.0,1.24927,2024-04-15 12:47,1.24927,-0.25,0.0,-0.07,-14.7
145,78265501,2024-04-12 09:45,buy,0.5,gbpusdc,1.25221,0.0,1.24901,2024-04-15 12:11,1.24901,-2.5,0.0,-0.74,-160.0
146,78276551,2024-04-12 09:45,buy,0.05,gbpusdc,1.25221,0.0,1.24927,2024-04-15 12:47,1.24927,-0.25,0.0,-0.07,-14.7
147,78267661,2024-04-12 12:30,buy,0.61,gbpusdc,1.24918,0.0,1.24901,2024-04-15 12:11,1.24902,-3.05,0.0,-0.9,-9.76
148,78267661,2024-04-12 12:30,buy,0.61,gbpusdc,1.24918,0.0,1.24901,2024-04-15 12:11,1.24902,-3.05,0.0,-0.9,-9.76
149,78268577,2024-04-12 15:45,buy,0.67,gbpusdc,1.246,0.0,1.24901,2024-04-15 12:11,1.24901,-3.35,0.0,-0.99,201.67
150,78268577,2024-04-12 15:45,buy,0.67,gbpusdc,1.246,0.0,1.24901,2024-04-15 12:11,1.24901,-3.35,0.0,-0.99,201.67
151,78270613,2024-04-12 17:30,buy,0.73,gbpusdc,1.24336,0.0,1.24901,2024-04-15 12:11,1.24901,-3.65,0.0,-1.08,412.45
152,78270613,2024-04-12 17:30,buy,0.73,gbpusdc,1.24336,0.0,1.24901,2024-04-15 12:11,1.24901,-3.65,0.0,-1.08,412.45
153,78275946,2024-04-15 09:00,sell,0.5,gbpusdc,1.24658,0.0,1.24633,2024-04-15 09:01,1.24632,-2.5,0.0,0.0,13.0
154,78275946,2024-04-15 09:00,sell,0.5,gbpusdc,1.24658,0.0,1.24633,2024-04-15 09:01,1.24632,-2.5,0.0,0.0,13.0
155,78276042,2024-04-15 09:15,sell,0.5,gbpusdc,1.24659,0.0,1.24634,2024-04-15 10:25,1.24632,-2.5,0.0,0.0,13.5
156,78276042,2024-04-15 09:15,sell,0.5,gbpusdc,1.24659,0.0,1.24634,2024-04-15 10:25,1.24632,-2.5,0.0,0.0,13.5
157,78276212,2024-04-15 10:30,sell,0.5,gbpusdc,1.2468,0.0,1.24655,2024-04-15 10:32,1.24655,-2.5,0.0,0.0,12.5
158,78276212,2024-04-15 10:30,sell,0.5,gbpusdc,1.2468,0.0,1.24655,2024-04-15 10:32,1.24655,-2.5,0.0,0.0,12.5
159,78276256,2024-04-15 10:45,sell,0.5,gbpusdc,1.24648,0.0,1.24623,2024-04-15 10:46,1.24623,-2.5,0.0,0.0,12.5
160,78276256,2024-04-15 10:45,sell,0.5,gbpusdc,1.24648,0.0,1.24623,2024-04-15 10:46,1.24623,-2.5,0.0,0.0,12.5
161,78276298,2024-04-15 11:00,sell,0.5,gbpusdc,1.24753,0.0,1.24728,2024-04-15 15:30,1.24718,-2.5,0.0,0.0,17.5
162,78276298,2024-04-15 11:00,sell,0.5,gbpusdc,1.24753,0.0,1.24728,2024-04-15 15:30,1.24718,-2.5,0.0,0.0,17.5
163,78276576,2024-04-15 12:15,buy,0.55,gbpusdc,1.24873,0.0,1.24927,2024-04-15 12:47,1.24927,-2.75,0.0,0.0,29.7
164,78276576,2024-04-15 12:15,buy,0.55,gbpusdc,1.24873,0.0,1.24927,2024-04-15 12:47,1.24927,-2.75,0.0,0.0,29.7
165,78277031,2024-04-15 15:45,sell,0.5,gbpusdc,1.24684,0.0,1.24659,2024-04-15 15:48,1.24659,-2.5,0.0,0.0,12.5
166,78277031,2024-04-15 15:45,sell,0.5,gbpusdc,1.24684,0.0,1.24659,2024-04-15 15:48,1.24659,-2.5,0.0,0.0,12.5
167,78277132,2024-04-15 16:00,sell,0.5,gbpusdc,1.248,0.0,1.24775,2024-04-15 16:23,1.24775,-2.5,0.0,0.0,12.5
168,78277132,2024-04-15 16:00,sell,0.5,gbpusdc,1.248,0.0,1.24775,2024-04-15 16:23,1.24775,-2.5,0.0,0.0,12.5
169,78277451,2024-04-15 16:30,sell,0.5,gbpusdc,1.24786,0.0,1.24761,2024-04-15 16:37,1.24759,-2.5,0.0,0.0,13.5
170,78277451,2024-04-15 16:30,sell,0.5,gbpusdc,1.24786,0.0,1.24761,2024-04-15 16:37,1.24759,-2.5,0.0,0.0,13.5
171,78277780,2024-04-15 16:45,sell,0.5,gbpusdc,1.24737,0.0,1.24712,2024-04-15 16:54,1.24712,-2.5,0.0,0.0,12.5
172,78277780,2024-04-15 16:45,sell,0.5,gbpusdc,1.24737,0.0,1.24712,2024-04-15 16:54,1.24712,-2.5,0.0,0.0,12.5
173,78278342,2024-04-15 17:00,sell,0.5,gbpusdc,1.24694,0.0,1.24669,2024-04-15 17:03,1.24668,-2.5,0.0,0.0,13.0
174,78278342,2024-04-15 17:00,sell,0.5,gbpusdc,1.24694,0.0,1.24669,2024-04-15 17:03,1.24668,-2.5,0.0,0.0,13.0
